formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,batter,scaleAttempt,scaleSuccess,broken,CDFCross,DBCross,LBCross,MoatCross,PCCross,RPCross,RWCross,RTCross,SPCross,autoCrossD,autoShotAtp,_id,_rev,language,views,redAlliance,blueAlliance,ballpick,drivetrain,aim,shooter,hpInfo
match,6224,28,YES,on,0,0,0,on,on,on,didn't work,0,0,0,0,0,0,0,0,0,RW,none,2eb105c1-b8c0-6d40-dc3f-f6374e8fe61f,1-470e86e79826cca0c3febbeaa1056be0,,,,,,,,,
match,5902,22,on,YES,0,0,1,YES,on,on,,0,0,1,0,0,0,2,0,0,LB,Lo,2f2565f8-4d23-c8f6-750d-a9cda708a996,1-92ef0136f58a3aabf450086c3444a192,,,,,,,,,
match,5122,36,YES,on,0,0,3,on,on,on,,0,0,0,0,0,0,2,0,0,RW,none,313eaf8a-a2dd-ad3c-4496-1a81ede870fa,1-88675c7d0735b8d19df10a5ce3c3e5db,,,,,,,,,
match,3585,43,YES,on,0,0,0,on,on,on,stopped moving,0,0,0,0,0,0,0,0,0,N,none,323bb625-b11d-7f64-770b-02aa763bc695,1-c7985cfd7b9f5c01074015634e5e5922,,,,,,,,,
match,4564,25,YES,on,0,0,0,YES,on,on,,0,0,0,0,0,0,0,1,2,N,none,33328436-5619-f230-ff41-39e418e88a7b,1-320af9e2d6d010c0493e22044a580c44,,,,,,,,,
match,133,56,YES,on,6,5,0,YES,on,on,,0,0,8,0,0,0,1,0,0,LB,none,34673633-a187-981d-8e18-c829d5e8fbee,1-724e774229bab8e41d6616c53d48eaf7,,,,,,,,,
match,4042,48,YES,on,0,0,0,on,on,on,"easily tips, never recovered from rock wall attempt ",0,0,0,0,0,0,0,0,0,N,none,364dccfa-0344-5735-954c-d8359836382e,1-5d85cb8cd71638750145946de60baea9,,,,,,,,,
match,6224,28,YES,on,0,0,0,on,on,on,did no move after auto,0,0,0,0,0,0,0,0,0,M,none,366a114f-f607-2900-6c4b-fef3e3d51275,1-1ce75274acbeb0a79a574c571df1393f,,,,,,,,,
match,4958,43,YES,on,0,0,0,YES,on,on,,0,0,0,0,0,0,0,0,0,N,none,371e470e-a27e-7940-8ece-34df630d254f,1-05edc2474b4738711b1c3ed88532e472,,,,,,,,,
match,6161,19,YES,on,0,0,0,on,on,on,chain,0,0,0,0,0,0,0,0,0,M,none,37218e75-a612-d3b6-1c89-285b46781654,1-c91ee7ed8b6d582c4e4e3f14f3784317,,,,,,,,,
match,663,57,YES,on,0,0,1,YES,on,on,,0,0,0,0,1,1,2,0,0,LB,none,381b1958-3da8-12c9-4222-5630e39f31a3,1-0ac7702cf504447082a134a188b9b902,,,,,,,,,
match,4555,32,YES,on,0,0,0,on,on,on,very bouncy,1,0,2,0,0,2,0,0,0,LB,none,385c7fbc-5a58-ae38-184c-9874a7eead52,1-f2f3439c49219a93a3bb6b6ec56849ff,,,,,,,,,
match,3597,59,on,on,0,0,0,YES,on,on,,0,0,0,0,0,0,1,2,0,LB,none,388d00a3-0602-d384-e5b4-7fbb8c8e75cf,1-cd5681923e43864a04354ec33b42f264,,,,,,,,,
match,1922,50,on,on,0,0,0,on,on,on,stuck on wall,0,0,0,0,0,0,0,0,0,M,none,38a2665d-6ac1-6c5f-828d-2b803fe8c980,1-85a76ab2f84abc46adb3cb5bb1b0e2fc,,,,,,,,,
match,5122,52,YES,on,0,0,0,YES,on,on,,0,0,1,0,0,0,4,0,3,RW,none,3a3520ea-822b-c256-858c-df9f31d81855,1-f52a342cfd380be62e9ea25fd41a3891,,,,,,,,,
match,5506,20,on,on,0,0,0,YES,on,on,,0,0,0,0,0,3,2,0,0,N,none,3c480fb8-1c5c-45c3-2f81-04c386d9a7ac,1-cd9cb63d8bef1fed0d1e586d76fc3f41,,,,,,,,,
match,5122,41,YES,on,2,0,1,YES,on,on,,0,0,2,0,1,2,0,0,0,N,none,3c667da5-f5e1-c5fc-23a1-6b199a87948e,1-5c823367069869c6fc7591b61eed1205,,,,,,,,,
match,125,45,YES,YES,7,6,0,YES,on,on,,0,0,0,1,2,0,2,0,0,RW,Hi,3da76056-32d4-313a-1f43-471d6bc5ca66,1-a22f0713a420f9f265ce52fe7b60161f,,,,,,,,,
match,6153,50,YES,on,0,0,5,YES,on,on,,0,0,1,0,1,0,1,0,0,RW,none,3e8dfea0-78cb-49b5-0556-771c569a426a,1-a8b74550d3c2d4e8dfae66a6ffcb1455,,,,,,,,,
match,5506,28,on,on,0,0,1,on,on,on,,0,0,0,1,0,2,0,0,0,N,none,3ecef008-5653-6e13-4d1c-4de73878ac35,1-4f38cbca523eb571dff4ebc91593f5b6,,,,,,,,,
match,6172,31,YES,on,0,0,0,on,on,on,,0,0,0,0,0,0,0,0,0,RW,none,3fade655-8643-fd1f-cedc-07cef5cc330b,1-789464d6359f063d84c07a8c7b7721ad,,,,,,,,,
match,3930,30,YES,on,0,0,6,YES,on,on,,0,0,0,0,0,0,0,0,0,RW,none,40dbaac0-b728-e96d-e184-066dd194e745,1-d2da85879056c01447770ee8f04e8ccc,,,,,,,,,
match,5687,24,YES,on,5,3,0,YES,on,on,,0,0,3,0,0,0,0,0,1,LB,none,414c68d2-5745-ecd0-f6f7-36abd7bffc7e,1-1db39468987e60d29a0ecdbb0d896f9e,,,,,,,,,
match,716,9,on,on,0,0,0,on,on,on,,0,0,1,0,0,0,0,0,0,N,none,4198fbad-b812-6a59-7caf-6e198b4d6f08,1-79e75176b4d6315489f616e17b05e099,,,,,,,,,
match,5506,33,on,on,0,0,1,YES,on,on,,0,0,1,0,0,0,0,0,0,LB,none,42106103-6512-346c-9bd1-7d0c16d4ef15,1-97da602cfe53f958d5e164e4db4e5c61,,,,,,,,,
match,5471,51,YES,on,0,0,0,on,on,on,,0,0,2,0,0,0,0,0,0,N,none,4420e114-f1be-71fb-7c56-1f63a978c2a5,1-48606726cc9cf9b8ef84ddea5b222071,,,,,,,,,
match,4555,47,YES,on,0,0,0,on,on,on,,0,0,3,0,1,0,0,0,1,LB,none,44da447a-827d-ba1c-931d-cb2837839d8b,1-17d26bdc43c4526ebf9397140c03a5f7,,,,,,,,,
match,4473,47,on,on,0,3,0,YES,on,on,,0,0,0,2,0,0,0,0,0,LB,none,45ed40d1-d8d9-5f9b-cdcd-6a5719576214,1-1527ba361660260ea8ae4dba1fb8a912,,,,,,,,,
match,230,26,YES,on,6,5,0,on,on,on,,0,0,0,0,0,1,0,0,0,LB,Hi,466dfb39-0632-2828-330c-b05fa3306917,1-52cc4716f7ce1ae599ca509b76c08601,,,,,,,,,
match,6153,21,on,on,0,0,1,on,on,on,,0,0,0,0,2,0,0,0,0,RT,none,47e2af62-0899-8073-9a37-10a445ef0b5e,1-b792fb54e38c611a66e40a68eb785afb,,,,,,,,,
match,4958,38,YES,on,0,0,0,on,on,on,,1,0,0,0,0,0,0,1,0,LB,none,481237b6-09f5-782e-d3a1-30bc27a85d99,1-4e0e7f1bc8365af03e3ecdb7b31eac32,,,,,,,,,
match,4958,10,YES,on,0,0,0,on,on,on,,0,0,0,0,0,0,0,0,0,LB,none,493950fc-761e-8e90-1874-0f2d539bd405,1-fa435700b5b3c8d8ed7bd1fdc15f9db7,,,,,,,,,
match,6161,35,on,on,0,0,0,on,on,on,,0,0,1,0,0,0,0,0,0,LB,none,498c0c79-48c4-897a-97ff-39ce76e1d124,1-c8ad0acca672fc7cb194b67f02cf5810,,,,,,,,,
match,5265,26,YES,on,-2,0,0,YES,on,on,,0,0,1,0,1,0,0,0,0,N,none,49c11dd3-b6f4-e043-9851-edb3db9a50c3,1-d0e9d731c2d16975a7c20e5f68a51983,,,,,,,,,
match,125,49,YES,YES,0,5,0,YES,on,on,,1,0,4,3,0,0,0,0,0,LB,Hi,4cbe927d-54d3-c9c0-bf08-c287462ba6cc,1-d3f0f4192cfcbf9d354eee1117215e6c,,,,,,,,,
