formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
pit,97,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,748a7c27-d1a3-7d73-d22c-e075d0818d3c,1-ae84b5ce6af33e9e0836d22002390fc2
match,5563,11,on,on,0,0,0,0,0,0,0,0,0,0,0,4,on,on,,N,none,,,,,,,,,,7550d7d9-681f-6bd8-e942-540f59c0f012,1-247667402fcf23ba491ea619ec4b13b3
pit,6161,,,,,,,,,,,,,,,,,,,,,,on,traction,DR,none,,,,,75e442c1-5168-074f-44a6-4b351ef7c63a,1-07160d9518992c10fa19e890f83837e4
match,4151,11,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,didn't move,N,none,,,,,,,,,,764ac246-3bce-f64a-aa9c-d042cc991092,1-67117054495259d18bc32aa1c0150a49
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,7683c0a6-f61e-b2f1-0802-3b96062d9a09,1-abee541cd22eae64cd3677cacc369663
pit,6201,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,none,,,,,77b3e4f3-17d8-b82c-1fd1-6854814543bb,1-25d59cb3e952a1a20429aeb9e9737f6a
match,6201,9,YES,on,0,0,1,0,1,0,0,0,1,0,0,1,on,on,,RP,none,,,,,,,,,,77f6c6c2-7804-589f-4d48-56699f5b971b,1-bf66a161647aaca17fa27f7c3f24ae8d
match,4905,13,on,on,0,0,0,0,4,2,2,0,0,0,3,0,on,on,,N,none,,,,,,,,,,7991e11d-9b83-e7cf-1fba-d4e49de9e1e2,1-a38a638d031b247a527df26114b1495d
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,7b022405-95ca-2655-4fa1-61c12144c37a,1-4f4e176901cce083e54ef3dfdc75fb28
pit,5962,,,,,,,,,,,,,,,,,,,,,,YES,tread,DR,wheel,,,,,7bf3c9b9-14ee-f0cf-0bb5-5209373e51b7,1-e18bd2977cedb108810327a6b47f596c
match,1699,11,YES,on,1,1,0,0,0,0,0,0,0,4,3,2,on,on,"fast, good ay crossing defenses, takes time to aim and shoot",RP,none,,,,,,,,,,7c1d64d2-a92f-df21-9182-5da38d446dc8,1-c6a494058b4d7920088999cd6b3d5f53
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,7ceeb4f1-6e55-60d5-d51d-b144547e49fd,1-c529228faf75ef5f5645eecb0e0b5a5b
match,5556,8,YES,on,0,0,0,0,0,3,0,0,0,0,3,0,on,on,,N,none,,,,,,,,,,803e50e1-b892-1b20-b887-f98a099b17f7,1-704f2f47c4b744c09dce17ca7034721a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,82ac235f-1633-ceb8-af2a-e000a38e51e7,1-6e2fb65ef646f773465aa6d73cc362a6
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,84206416-84c4-24b6-1044-d630068b4275,1-2d2c754817e4322dbc6ba9319010b23d
