formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,285402fb-6e99-8224-15cb-9190f6dbe83f,1-d53e930c9244753db9c4b396644f66b1
pit,151,,,,,,,,,,,,,,,,,,,,,,YES,tank,DR,none,,,,,296959f4-cd77-296f-bcf7-e8a20c15ff79,1-de5f9f2d3d424b7bff7ec3f3a5946815
match,151,2,YES,on,0,0,0,0,0,2,0,0,0,0,2,0,on,on,,LB,none,,,,,,,,,,2bcf0415-5fad-7f6b-bfca-8602c0ce741b,1-236125a4cdb3fc05a23b1d32972a6cae
match,6201,6,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,got tangled up in the flaps of the low bar,LB,none,,,,,,,,,,2c2722c0-cc41-2519-0a1d-50aafca60cbc,1-75b5975f07424e6344e2d0e6950f3cdf
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2d4a7aea-5cca-b7cf-24cf-d72be079a019,1-b39a15e7a336730d3da07f138717f3a8
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2e051008-6bb4-f247-a014-a2b05d97e2db,1-157a2581839203de6840b329ab29b6bd
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,2e3338e4-ad8e-24d5-a47f-b274965be822,1-6c419d44007c7ff0f714690e3617d08b
match,3930,9,YES,on,0,0,3,0,5,0,0,0,0,0,2,0,on,on,,RW,none,,,,,,,,,,2f84eaee-ca88-f712-f8a1-ff273388f1d4,1-31b0220f9c4f8e054048416878ff8277
pit,5459,,,,,,,,,,,,,,,,,,,,,,on,mecanum,DR,wheel,,,,,2faf2259-d130-68b1-0e2d-83199f7c20b4,1-346d3a2f04fa2e0dee7a2fc0de356d90
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,30d68211-8610-4f24-3dd5-1ea9ee68afa0,1-ddbba3ca88397b870ce1355eb6195c09
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,31d67d84-c19b-f730-f6c8-01fcf0a11d1c,1-72e394bca894a0db171e115be20818fd
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,320d3b0f-00b7-3068-edf9-e09ea950ad23,1-00670b60a2de8bdc40707ab4d74609aa
match,4905,13,on,on,0,0,2,0,3,2,2,0,0,0,1,0,on,on,,M,none,,,,,,,,,,330ac551-2a1b-5a74-0e96-12495705dae1,1-80e41b74c9a5e71850df641a89b2c8b6
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,337b52fd-c251-1e09-c0f6-47e824f4c9be,1-fc6a8a60a29e7a8ef16bc7d213683ae9
match,3930,14,YES,on,0,0,2,2,3,0,0,0,0,0,0,0,on,on,good at low goals,RW,none,,,,,,,,,,350a0e2e-b18d-7a1c-427c-23ae3240b623,1-201fd75482121311fdf52a3f46b533ec
match,151,18,YES,on,0,0,0,0,1,1,0,1,0,0,0,0,on,on,,LB,none,,,,,,,,,,36ce1c25-1f62-7cca-7e3b-8025db89daac,1-223fb714368562e460f6978e836efc77
match,2713,12,on,YES,0,0,0,2,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,376d120a-cec2-9457-c5da-5a17aa4c3bd5,1-02249665837becafffbd7df8e16eef14
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,378a2118-22a1-b658-c0b9-af5c2fecd89b,1-4a21c084ae0d6a05c46d6003c325dd78
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,37fdb3b5-56d3-40d8-7097-023793f277ac,1-86d6779a0d0768010cf26f6162547ee6
match,2084,44,YES,on,0,0,0,0,2,2,1,0,0,0,0,0,on,on,,RP,none,,,,,,,,,,384299a2-127d-248b-5c55-5d28787482d1,1-3cdbbf3357f78b702fe35839e2ffaaa8
match,4905,47,on,on,0,0,3,0,0,0,0,0,0,0,1,1,on,on,,N,none,,,,,,,,,,39250c92-6274-f552-beb6-48169782f41a,1-819f988122e00a5428a5aff49c2f4197
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,3a0226a1-dbe9-79ae-e153-186c10ba3da8,1-500adec25758cf647485b7b53899bc09
match,501,31,YES,on,0,0,3,0,3,0,0,1,0,0,2,0,on,on,,RW,none,,,,,,,,,,3b8a2222-b6c9-db86-6473-24366885c790,1-ad4f865470eb53956c695aaf2dc2ac95
match,1699,34,YES,on,2,1,0,0,0,0,0,0,0,2,0,0,on,on,,RT,none,,,,,,,,,,3bab5790-d6a0-9127-7a6c-2f9522499510,1-54533ea04993b38efaeb19b6274d9a20
match,4176,23,on,on,1,0,0,0,0,0,0,1,0,2,0,0,on,on,,N,none,,,,,,,,,,3bcfad52-35b0-a6e5-c662-9d9ddad360cf,1-452cce0d63fef33e00623f3cb800453b
match,4929,42,YES,on,0,0,2,0,0,0,0,0,0,0,2,0,on,on,,LB,none,,,,,,,,,,3eccf1f4-c01e-0374-68b3-efdd9bc381c7,1-ae78363d9453ebcf2c0c69e863bae8dd
match,151,9,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,3fdf065f-e2cd-8177-34b5-95c85da7968d,1-0345b55cb52ed621bb416f9e50158a0a
match,1058,20,on,on,0,0,0,0,0,0,0,0,0,0,0,0,YES,on,,N,none,,,,,,,,,,40d524e4-33b6-8373-36ec-db1e11816be5,1-178c8c606d9e436adbb9fd6f38eab75f
match,4905,42,YES,on,0,0,0,0,0,2,0,0,1,0,1,2,on,on,,RP,none,,,,,,,,,,41398612-c76d-24c8-0639-091d223bf721,1-24107c74d58e917b4ea078ab3041c87e
match,2876,30,YES,on,0,0,1,0,3,0,0,0,0,0,0,0,on,on,,RW,none,,,,,,,,,,4164a8c8-d6d2-7c22-33d3-e6ffa48330b0,1-17b637bcb0e58a64ae3073facd099943
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,42b2b844-1930-1576-1b1d-1dc07173fa61,1-289aa5f9e76ecbae6b89c4267e1b5395
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,43397169-fa43-d6a8-57c7-aad788b3316d,1-35b7f2328246c5710e97e80e5b3eb01c
match,1474,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,didnt move,N,none,50,,,,,,,,,43b7f24f-1cc7-6663-1ff8-32042665e062,1-0612f92cb054ecaeba80b90931e471a0
match,4905,6,on,on,0,0,0,0,1,2,0,0,2,2,0,0,on,on,,N,none,,,,,,,,,,44184a4f-8820-5739-586f-5c9a56bbce06,1-63bbdecb048b654982bda6d8ee649d0a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4676afd2-b5f8-6d52-e578-30ce43a5a05c,1-6af8a3fab31bdbd899672e523752ac28
match,1073,5,YES,on,0,0,0,0,3,0,0,0,1,0,1,0,on,on,,N,none,,,,,,,,,,48b40d34-0078-b390-558a-9122dc6aed28,1-5ecfa8df524dc2f675f832bcdd9ff1b0
match,151,38,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,no movement after auto,LB,none,,,,,,,,,,4a7c0584-8b36-96b8-395c-f6ffeb59ba31,1-f5bfbb5af480b59792d7c95e351ddc39
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4a90964d-34cb-41de-5dcd-b780ded99052,1-98f2b9024b9c418bf053d12d7494366f
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,4aa2e78a-3124-b583-14bf-95062e70764b,1-1ea5820040a4206dfe1b0bf486419ee2
match,319,43,on,on,0,0,0,0,0,0,0,0,0,1,0,0,on,on,,N,Hi,,,,,,,,,,4dd23fac-1eeb-a1b6-c19d-5833a1857b7f,1-404d9b878f93efc094708a027f588f46
match,5752,17,YES,on,0,0,1,0,3,0,0,0,0,0,0,0,on,on,,LB,none,,,,,,,,,,4f06c0da-4a9c-23d7-adfe-c588e4b1f480,1-31c2b29aa0d9db9ec82c34b319a2ee73
match,2423,21,YES,on,1,0,0,0,0,0,0,0,0,1,0,0,on,on,,N,none,,,,,,,,,,50ff6d05-153c-ce94-c16f-27b90b1aec19,1-0c41ba349062408202d5e758598f5daf
pit,1474,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,wheel,,,,,52da789b-9d07-5b66-bce3-5a0a3ce0c3e9,1-d376b9ae2dacc69c16f16edb56233e46
match,1761,26,YES,on,0,0,0,0,3,0,0,0,0,0,0,0,on,on,,LB,none,,,,,,,,,,5403ffba-d508-ffca-5f67-6ea1a96db945,1-71c5e9afc7f1921ab9606c6a5957768a
match,58,,YES,on,0,0,0,0,0,0,0,0,3,0,0,0,on,on,,N,none,,,,,,,,,,599b0369-c670-71a1-9145-00c0b96a078a,1-1ccacbbaef0a3833442c39ba07dea04c
match,2876,6,YES,on,0,0,0,0,0,0,0,0,2,2,0,0,on,on,,RT,none,,,,,,,,,,5a689b95-2fff-c97a-840f-0fb9a4c73580,1-3b32bb122fd0d0c8606a1de5f50f96fb
match,6201,26,YES,on,0,0,1,0,1,0,0,0,0,0,0,0,on,on,,LB,none,,,,,,,,,,5ba543fa-2aa2-0ab8-2b9d-000448ee1f17,1-5ce79d621f80df680533fbe8b5dcdf3c
match,3930,27,on,on,0,0,0,0,0,2,0,0,0,0,3,0,on,on,,N,none,,,,,,,,,,5bb1de4b-1f73-3292-af63-7c731baa8149,1-7ed13a09aae1a2ed65fbabdbe0760215
match,6201,37,on,on,0,0,1,0,0,0,0,0,0,0,1,0,on,on,,RT,none,,,,,,,,,,5cf91ca0-2654-77f8-671b-d09b20f7ed86,1-ba51b765dfcc485048a18e6077791ea3
match,4474,10,on,on,0,0,0,1,0,0,0,0,0,0,1,1,on,on,,N,none,,,,,,,,,,5d090028-1e51-4879-c851-b11ab14b3da2,1-e3fed5bfa35d148c9ccd0f4d9f688382
match,5459,19,on,on,,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,5d0bce68-e64d-04ad-5adf-dbed2a0df012,1-c54e4dfa7e90787d72d91055eabf7e24
match,5969,45,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,5d492228-27e1-52bb-16bd-170b0ca74b65,1-31186dbdbce61232772bc00be1d5ed6f
match,1058,8,YES,on,0,0,3,0,2,0,0,0,0,0,0,0,YES,YES,,LB,none,,,,,,,,,,6081b488-6033-4b30-11e5-8315392940e0,1-8b3aff6237d30621c8912acae6990cd4
match,5263,25,YES,on,0,0,0,0,0,0,0,0,0,0,1,0,on,on,,LB,none,,,,,,,,,,6199e9e3-ac63-64e2-5489-e49fcd93c60f,1-5afc178c693d0fa4db64ce648b199b8a
